City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Bluff,NZ,2021-11-08 03:26:20,-46.6,168.3333,61.5,64,88,9.91,overcast clouds
120,Chuy,UY,2021-11-08 03:26:20,-33.6971,-53.4616,53.33,84,13,1.57,few clouds
121,Andenes,NO,2021-11-08 03:26:20,69.3143,16.1194,37.38,70,75,19.57,broken clouds
122,Aklavik,CA,2021-11-08 03:23:52,68.2191,-135.0107,16.63,96,90,4.72,overcast clouds
123,Tarakan,ID,2021-11-08 03:26:21,3.3,117.6333,81.9,83,75,4.61,moderate rain
124,Darhan,MN,2021-11-08 03:24:55,49.4867,105.9228,22.53,58,44,5.82,scattered clouds
125,Mabua,PH,2021-11-08 03:26:22,9.8089,125.4422,84.6,75,9,9.73,clear sky
126,Mayumba,GA,2021-11-08 03:26:22,-3.432,10.6554,76.64,89,100,1.86,moderate rain
127,Orlik,RU,2021-11-08 03:26:22,52.5178,99.825,16.57,78,100,3.22,overcast clouds
128,Penzance,GB,2021-11-08 03:26:23,50.1186,-5.5371,54.77,91,100,5.82,overcast clouds
129,Springfield,US,2021-11-08 03:26:23,37.2153,-93.2982,58.23,63,1,8.99,clear sky
130,New Gloucester,US,2021-11-08 03:26:23,43.9628,-70.2825,43.27,88,1,0.0,clear sky
131,Isangel,VU,2021-11-08 03:26:24,-19.55,169.2667,80.71,69,75,9.22,broken clouds
132,Fort-Shevchenko,KZ,2021-11-08 03:26:24,44.5086,50.263,52.56,85,88,5.7,overcast clouds
133,Atuona,PF,2021-11-08 03:26:25,-9.8,-139.0333,78.39,75,9,16.71,clear sky
134,Nanortalik,GL,2021-11-08 03:26:26,60.1432,-45.2371,30.87,61,100,1.14,overcast clouds
135,Dicabisagan,PH,2021-11-08 03:26:26,17.0818,122.4157,83.3,78,74,5.03,broken clouds
136,Cayenne,GF,2021-11-08 03:26:27,4.9333,-52.3333,81.09,84,75,5.01,broken clouds
137,Kapaa,US,2021-11-08 03:26:27,22.0752,-159.319,82.38,70,40,4.0,scattered clouds
138,Baherden,TM,2021-11-08 03:26:28,38.4362,57.4316,43.92,44,1,4.18,clear sky
139,Ferme-Neuve,CA,2021-11-08 03:26:28,46.7001,-75.4493,44.38,91,96,2.1,overcast clouds
140,Carnarvon,AU,2021-11-08 03:26:29,-24.8667,113.6333,71.67,56,76,12.66,broken clouds
141,Vila Franca Do Campo,PT,2021-11-08 03:25:49,37.7167,-25.4333,70.2,74,35,11.74,scattered clouds
142,Uramita,CO,2021-11-08 03:26:29,6.8994,-76.1742,70.86,99,99,1.45,overcast clouds
143,Nishihara,JP,2021-11-08 03:26:30,26.1842,127.7558,78.46,73,90,8.05,overcast clouds
144,Qaanaaq,GL,2021-11-08 03:26:30,77.484,-69.3632,2.91,70,55,7.47,broken clouds
145,New Norfolk,AU,2021-11-08 03:25:54,-42.7826,147.0587,63.75,40,12,4.0,few clouds
146,Hvolsvollur,IS,2021-11-08 03:26:30,63.7533,-20.2243,34.81,79,100,15.7,light rain
147,Santa Isabel Do Rio Negro,BR,2021-11-08 03:26:31,-0.4139,-65.0192,73.36,99,96,1.86,overcast clouds
148,Krems,AT,2021-11-08 03:26:31,48.4092,15.6142,49.32,89,100,8.14,overcast clouds
149,Shelburne,CA,2021-11-08 03:26:31,44.0787,-80.2041,47.59,87,78,7.18,broken clouds
150,Omboue,GA,2021-11-08 03:26:32,-1.5746,9.2618,76.48,91,100,5.19,overcast clouds
151,Cervo,ES,2021-11-08 03:26:33,43.6702,-7.4101,48.2,81,100,2.28,overcast clouds
152,Murud,IN,2021-11-08 03:26:34,18.3258,72.965,77.45,60,88,5.32,overcast clouds
153,Pisco,PE,2021-11-08 03:26:34,-13.7,-76.2167,65.01,82,0,2.3,clear sky
154,East London,ZA,2021-11-08 03:26:35,-33.0153,27.9116,61.74,100,90,9.22,light rain
155,Beloha,MG,2021-11-08 03:26:35,-25.1667,45.05,74.16,53,60,5.14,broken clouds
156,Concepcion,CL,2021-11-08 03:26:36,-36.827,-73.0498,55.2,82,0,9.22,clear sky
157,Meulaboh,ID,2021-11-08 03:26:36,4.1363,96.1285,76.32,94,100,6.06,overcast clouds
158,Rumphi,MW,2021-11-08 03:26:37,-11.0186,33.8575,66.94,50,43,5.35,scattered clouds
159,Frolovo,RU,2021-11-08 03:26:37,49.7713,43.6622,40.33,86,96,7.43,light rain
160,Jinka,ET,2021-11-08 03:26:37,5.65,36.65,62.1,83,56,3.44,light rain
161,Paamiut,GL,2021-11-08 03:26:38,61.994,-49.6678,18.72,66,8,6.17,clear sky
162,Tevriz,RU,2021-11-08 03:26:38,57.509,72.4042,30.2,91,100,13.76,light snow
163,Morondava,MG,2021-11-08 03:26:38,-20.2833,44.2833,75.54,89,2,5.03,clear sky
164,Do Gonbadan,IR,2021-11-08 03:26:39,30.3586,50.7981,53.69,76,40,0.0,scattered clouds
165,Santa Rosa,PH,2021-11-08 03:26:39,14.3122,121.1114,88.11,73,53,11.81,broken clouds
166,Naldurg,IN,2021-11-08 03:26:40,17.8167,76.3,71.6,52,35,11.18,scattered clouds
167,Touros,BR,2021-11-08 03:26:41,-5.1989,-35.4608,81.5,77,81,12.28,broken clouds
168,Codrington,AU,2021-11-08 03:26:41,-38.2667,141.9667,60.08,54,92,6.06,overcast clouds
169,Segou,ML,2021-11-08 03:26:42,13.4317,-6.2157,83.66,24,58,7.4,broken clouds
170,Chapais,CA,2021-11-08 03:26:42,49.7834,-74.8492,40.78,98,100,5.86,overcast clouds
171,Kavieng,PG,2021-11-08 03:26:43,-2.5744,150.7967,85.12,69,9,16.87,light rain
172,College,US,2021-11-08 03:26:43,64.8569,-147.8028,22.66,92,90,0.0,light snow
173,Srednekolymsk,RU,2021-11-08 03:26:44,67.45,153.6833,4.15,96,100,6.46,overcast clouds
174,Chicama,PE,2021-11-08 03:26:44,-7.8447,-79.1469,61.34,83,91,5.35,overcast clouds
175,Baraki Barak,AF,2021-11-08 03:26:45,33.9675,68.9486,46.22,57,1,1.14,clear sky
176,La Ronge,CA,2021-11-08 03:26:45,55.1001,-105.2842,28.65,86,1,3.44,clear sky
177,Tura,IN,2021-11-08 03:26:46,25.5198,90.2201,73.02,63,72,0.63,broken clouds
178,Russell,US,2021-11-08 03:26:46,32.3502,-85.1999,49.23,81,1,0.0,clear sky
179,Airai,TL,2021-11-08 03:24:03,-8.9266,125.4092,73.9,68,91,0.49,overcast clouds
180,Palatka,US,2021-11-08 03:26:46,29.6486,-81.6376,56.98,85,0,4.09,clear sky
181,Nadym,RU,2021-11-08 03:23:52,65.5333,72.5167,23.56,93,100,12.39,overcast clouds
182,Severo-Kurilsk,RU,2021-11-08 03:23:58,50.6789,156.125,36.77,68,99,22.28,overcast clouds
183,Oga,IT,2021-11-08 03:26:47,46.4631,10.347,32.68,51,73,2.77,broken clouds
184,Caravelas,BR,2021-11-08 03:26:47,-17.7125,-39.2481,72.36,83,95,3.42,overcast clouds
185,Albox,ES,2021-11-08 03:26:48,37.3886,-2.1495,46.85,39,0,7.81,clear sky
186,Bloomingdale,US,2021-11-08 03:26:48,27.8936,-82.2404,64.26,91,1,3.0,clear sky
187,Royan,FR,2021-11-08 03:26:49,45.6285,-1.0281,46.38,90,7,8.88,clear sky
188,Chokurdakh,RU,2021-11-08 03:26:49,70.6333,147.9167,-14.62,94,88,6.46,overcast clouds
189,Yarada,IN,2021-11-08 03:26:50,17.65,83.2667,79.12,53,40,6.91,haze
190,San Patricio,US,2021-11-08 03:23:53,28.017,-97.5169,70.83,73,0,6.82,clear sky
191,Sala Consilina,IT,2021-11-08 03:26:50,40.3912,15.5989,61.38,67,98,3.4,overcast clouds
192,Kambove,CD,2021-11-08 03:26:50,-10.8764,26.5969,65.05,50,58,3.0,broken clouds
193,Kenai,US,2021-11-08 03:26:07,60.5544,-151.2583,31.14,93,90,6.91,light snow
194,Wexford,IE,2021-11-08 03:26:51,52.3342,-6.4575,52.57,93,100,10.02,moderate rain
195,Hami,CN,2021-11-08 03:26:51,42.8,93.45,29.62,36,3,6.91,clear sky
196,Nizhniy Odes,RU,2021-11-08 03:26:52,63.6445,54.856,27.55,94,100,7.02,light snow
197,Lashio,MM,2021-11-08 03:26:53,22.9333,97.75,74.07,58,23,0.78,few clouds
198,Cuenca,EC,2021-11-08 03:24:00,-2.8833,-78.9833,57.33,94,80,8.05,broken clouds
199,Dobele,LV,2021-11-08 03:26:53,56.625,23.2786,40.55,85,100,15.68,overcast clouds
200,Lagoa,PT,2021-11-08 03:26:54,39.05,-27.9833,68.23,85,4,21.88,clear sky
201,Ucluelet,CA,2021-11-08 03:26:53,48.9329,-125.5528,41.09,89,91,11.36,overcast clouds
202,Havre-Saint-Pierre,CA,2021-11-08 03:26:54,50.2334,-63.5986,44.6,93,90,4.61,overcast clouds
203,Ambilobe,MG,2021-11-08 03:26:55,-13.2,49.05,76.14,72,6,2.73,clear sky
204,Juneau,US,2021-11-08 03:25:15,58.3019,-134.4197,33.22,91,20,4.61,few clouds
205,Port Lincoln,AU,2021-11-08 03:26:55,-34.7333,135.8667,60.3,58,97,8.39,overcast clouds
206,Yershov,RU,2021-11-08 03:26:56,51.3513,48.2766,37.35,89,76,7.05,broken clouds
207,Pevek,RU,2021-11-08 03:26:56,69.7008,170.3133,8.06,90,100,8.14,overcast clouds
208,Puerto Narino,CO,2021-11-08 03:26:57,-3.7703,-70.3831,73.35,99,100,1.79,light rain
209,Cap Malheureux,MU,2021-11-08 03:25:55,-19.9842,57.6142,78.48,74,15,8.99,few clouds
210,Tikhvin,RU,2021-11-08 03:26:57,59.6451,33.5294,32.22,97,100,6.02,snow
211,Jiuquan,CN,2021-11-08 03:26:58,39.7432,98.5174,29.95,22,4,0.92,clear sky
212,Tuatapere,NZ,2021-11-08 03:26:58,-46.1333,167.6833,67.48,50,99,4.65,overcast clouds
213,Kargil,IN,2021-11-08 03:26:58,34.5667,76.1,19.56,64,5,1.41,clear sky
214,Novomikhaylovskiy,RU,2021-11-08 03:26:59,44.2581,38.8578,59.92,90,100,8.72,overcast clouds
215,Kaspiyskiy,RU,2021-11-08 03:26:59,45.3929,47.3707,44.87,79,37,4.7,scattered clouds
216,Redlands,US,2021-11-08 03:26:59,34.0556,-117.1825,68.27,58,1,4.61,haze
217,Stornoway,GB,2021-11-08 03:26:59,58.2093,-6.3865,48.92,81,100,16.11,overcast clouds
218,Dunda,TZ,2021-11-08 03:27:00,-8.1167,34.25,66.58,56,63,3.18,broken clouds
219,Batagay-Alyta,RU,2021-11-08 03:27:00,67.8006,130.4114,-6.11,82,91,3.56,overcast clouds
220,Oussouye,SN,2021-11-08 03:27:01,12.485,-16.5469,78.98,75,21,6.04,few clouds
221,Camacha,PT,2021-11-08 03:27:01,33.0833,-16.3333,63.82,59,40,9.22,scattered clouds
222,Jiamusi,CN,2021-11-08 03:27:02,46.8333,130.35,24.15,96,100,13.58,snow
223,Padang,ID,2021-11-08 03:25:52,-0.9492,100.3543,84.25,76,100,5.17,overcast clouds
224,Walvis Bay,NA,2021-11-08 03:27:03,-22.9575,14.5053,53.1,81,3,3.44,clear sky
225,Port Keats,AU,2021-11-08 03:27:03,-14.25,129.55,90.39,57,53,11.03,broken clouds
226,Inirida,CO,2021-11-08 03:27:04,3.8653,-67.9239,73.83,98,99,0.89,overcast clouds
227,Ratnagiri,IN,2021-11-08 03:27:04,16.9833,73.3,77.58,64,100,7.58,overcast clouds
228,Richards Bay,ZA,2021-11-08 03:27:05,-28.783,32.0377,70.05,96,100,3.38,overcast clouds
229,Acapulco,MX,2021-11-08 03:24:32,16.8634,-99.8901,78.46,80,20,3.33,few clouds
